Unnamed: 0,pairID,Flickr30kID,hypothesis,gold_label,explanation,generated_caption,predicted_label,clip_score
12781,2607097757.jpg#3r1n,2607097757.jpg,the hole in the ground is intentional and blue is not red.,entailment,Clearly the hole in the ground is intentional because it is being used for construction.,"The image shows a construction site with workers actively engaged in digging a large hole in the ground. A man in a safety vest and hard hat is leaning against a wooden barrier, examining the excavation. Another worker in a white hard hat is standing further back, observing the work. In the background, there’s a large pile of dirt, construction equipment, and a street with cars. The ground is dark gray, and the colors of the surrounding objects are predominantly muted.",neutral,0.9088721126317978
12466,2607097757.jpg#4r1n,2607097757.jpg,the worker is on his lunch break and blue is not red.,contradiction,The worker is at work he cannot said to be at lunch break.,"The image shows a construction site with workers engaged in excavation work. A man wearing an orange hard hat, reflective vest, and hearing protection is leaning over a trench filled with dirt and gravel. He is holding wooden planks to support the trench walls. Another worker, wearing a white hard hat and a yellow vest, is standing nearby, looking in the same direction as the first worker. In the background, there is construction equipment, including a dump truck and a concrete barrier. The sky is overcast.",neutral,1.0257167369127274
6454,2607097757.jpg#0r1n,2607097757.jpg,the hat is white and blue is not red.,neutral,Construction worker wearing a hard hat does not imply the hat is white,"The image shows a construction site with workers engaged in digging and construction. A man in an orange hard hat and reflective vest is leaning against a wooden barrier, appearing to be inspecting a large pile of dirt. Another worker, wearing a white hard hat and yellow vest, is standing nearby, observing the work. In the background, there's construction equipment, including a truck and a wheel loader. The overall scene depicts an active construction project.",neutral,1.0203934460878372
490,3046312861.jpg#2r2e,3046312861.jpg,a girl is in the middle of training and blue is not red.,entailment,training in gymnastics indicates she is currently in the middle of training,"The image shows a female gymnast, wearing a dark, possibly black, leotard with red accents, hanging from a horizontal bar during a gymnastics training session. She is positioned low to the bar, gripping it with her hands. There are other gymnasts visible in the background, including one wearing a white shirt. A sign reading “GEORGIA” is also visible on the wall. The floor around the bar is covered with mats and blocks.",neutral,1.1043233424425125
484,3046312861.jpg#2r3c,3046312861.jpg,a girl plays volleyball with an Alabama sign in the background and blue is not red.,contradiction,A Georgia sign can't be an Alabama sign.,"The image shows a female gymnast performing on a balance beam. She is wearing a black leotard with red and white accents and is hanging from the beam using her hands.  There’s a blurred figure of another person in the background. Behind the beam, there is a poster board with the word ""GEORGIA"" written on it. The floor is covered in mats and equipment, and there are other pieces of gym equipment visible.",neutral,1.0675876587629318
10788,3046312861.jpg#2r3n,3046312861.jpg,a girl from Georgia State University trains for the Olympic gymnastics team and blue is not red.,neutral,Although the word Georgia is printed on the wall it might not be Georgia State University and although the girl is training for gymnastics it might not be for the Olympic gymnastics team.,"The image shows a young woman, likely a gymnast, practicing on a high bar in what appears to be a gymnastics training facility. She is wearing a red and white gymnastics leotard and is gripping the bar with both hands. Part of a poster in the background reads ""GEORGIA"", suggesting the location. The floor area has mats and blocks. A second girl in a white shirt is partially visible in the background.",neutral,1.106458306312561
9513,3620764461.jpg#3r1e,3620764461.jpg,children are napping on a floor and blue is not red.,entailment,"""Children nap"" means that children are napping.","The image shows a large, open space, likely a community hall or gathering area. There are several woven straw mats covering the floor. Two children are lying on the mats, one on the left and one on the right. The child on the left is lying on their back, with their face down. The child on the right is lying on their side, partially covering the other child. Other children are standing around the edges of the room, some barefoot. An adult is standing near the back, possibly taking a photo. There are tables and chairs visible in the background. A blue patterned rug is also present.",entailment,1.12163245677948
2381,3620764461.jpg#4r1c,3620764461.jpg,kids are playing outside and blue is not red.,contradiction,You can't be sleeping and playing at the same time.,"The image shows an indoor space, likely a community hall or large room, with several people present. There are two children lying on straw mats on the floor. One child is lying on his side with his face down, while another is lying on his back, partially covering the other child. There are other people standing and sitting around the room, some barefoot. Two patterned rugs are visible – one a light blue with a floral design and the other a dark green. There’s a small dog in the background. The room appears to be somewhat rustic, with wooden structures visible.",neutral,1.0913335531949997
2382,3620764461.jpg#4r1n,3620764461.jpg,some friends are having a sleepover and blue is not red.,neutral,"A sleepover consists of a party, children sleeping on the floor does not.","The image shows a large, open room with multiple straw mats on the floor. Several people are present, some barefoot and wearing casual clothing. In the foreground, two boys are lying on the mats, one on top of the other. One boy is wearing a white shirt and a blue jacket, while the other is wearing a white shirt and a dark blue suit jacket. A green-painted area is visible in the left foreground. Several other people are partially visible in the background, including a woman in a floral top and jeans, and a child wearing a yellow shirt. There’s a table in the background with chairs.",neutral,0.9932030737400055
911,2952320230.jpg#1r1e,2952320230.jpg,a child was there and blue is not red.,contradiction,We can imply that the child is with the woman.,"The image shows a woman, likely Serena Williams, mid-swing while playing tennis on a green outdoor court. She is wearing a white tennis outfit, a white cap, and white sneakers. A blue court wall is visible behind her. There are spectators in the background, and a chair is partially visible to the right of the frame.",neutral,0.9737400710582733
908,2952320230.jpg#0r1c,2952320230.jpg,a man is falling down stairs and blue is not red.,contradiction,A woman is not a man. Swinging a tennis racket is not falling down stairs.,"The image shows a Black female tennis player in the middle of a serve motion. She is wearing a white cap, white athletic skirt and top, white socks, and white sneakers. She is holding a tennis racket and is positioned on a green tennis court with a blue court barrier in the background. There are spectators visible in the background behind a fence.",neutral,1.0179807990789413
9178,2952320230.jpg#2r1n,2952320230.jpg,the tennis player practiced swinging the racket and blue is not red.,neutral,It's not necessarily true that the player practiced swinging.,"The image shows a black female tennis player in a white cap and white athletic attire, including a skirt and socks, standing on a green tennis court. She is in the middle of a tennis serve or swing, holding a tennis racket with her dominant hand. The background includes a blue fence, spectators in the stands, and a white chair.",entailment,1.026294305920601
